#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95.6	82	0	0	9	0	0	3	21	43	3	107	1	603	130	1240	4	48	27	51	75	31	23	767	114	72	9	95	93	94	22	62	0	644	1	2
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU303|NN=Eggerthella_lenta_AF292375|D=87.9	0	0	0	0	4	0	0	0	8	0	0	1	1	0	0	40	0	0	0	0	45	0	20	0	0	0	3	18	17	2	20	0	0	0	58
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia	456	548	0	355	2	986	6	35	53	1	212	24	244	42	88	43	829	48	42	662	45	7	264	245	125	1	17	769	160	74	174	0	58	21	8
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella; Collinsella_aerofaciens	15	1	6	54	1	28	1	83	703	5	20	4	183	27	255	35	341	16	83	303	63	10	34	7	3	399	51	33	507	56	0	0	6	0	53
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU160|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.4	0	3	11	89	0	925	24	880	4073	226	56	0	53	0	1170	0	3186	360	396	146	2	374	16	1	371	384	90	17	630	314	0	0	222	0	852
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	0	0	118	0	0	19	0	2	686	1132	41	0	0	0	0	0	0	0	2832	2	0	5	1	4	0	0	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU480|NN=Butyrivibrio_crossotus_FR733670|D=85.8	0	0	0	0	0	0	0	0	0	0	228	0	65	0	0	0	103	99	0	0	0	0	0	1	0	89	0	0	0	0	0	0	0	0	0
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia; Akkermansia_muciniphila	120	8	15	1043	0	8	13	0	4702	25440	3480	552	18	11800	6	1	19	6615	1378	185	12890	31	60	2108	2084	561	2002	598	287	110	1197	6	0	3	1938
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; unclassified; OTU228|NN=Sutterella_parvirubra_AB300989|D=92.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	235	0	0	0	0	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; OTU24|NN=Massilia_aurea_AM231588|D=96.2	62	26	3	0	2	15	0	0	44	15	13	7	15	55	102	4	2	16	42	70	48	1	8	155	13	3	27	28	39	42	8	26	2	4	2
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	0	0	0	0	40	0	1	119	94	209	553	0	75	0	0	0	8	0	17	110	2	0	181	2	380	87	21	10	0	236	0	0	1	0	0
