#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	684	0	6249	2	1	0	16	460	1642	89	0	0	22	1	0	0	5873	0	0	238	1	1	0	1	1	0	0	0	1	2	0	1	0	1	0	1	7	0	0	1
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella	0	0	0	9	1	0	1	0	0	22	0	0	0	0	0	0	0	0	0	29	0	0	67	1	0	0	0	0	2	74	1	119	1	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86.7	12	16	1	1	0	8	2	1	11	8	0	46	20	0	0	0	0	0	3	63	10	6	10	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93.2	40	0	0	125	4	4	34	4955	10	37	8	2	74	13	0	0	33	10	0	332	84	293	3	1	0	13	0	0	1	1	0	1	1	6	21	12	3	945	1	25
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	15	2	10	8	0	19	11	0	29	29	7	2	42	154	0	0	19	1639	31	5	2	0	504	0	0	0	0	2	7	1	0	149	0	1	0	12	26	2	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU342|NN=Clostridium_clariflavum_NR_102987.1|D=77.3	324	110	50	3	0	11	74	21	65	701	606	113	117	75	0	0	161	182	36	89	7	28	2	12	0	0	0	1	0	0	0	88	0	47	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU354|NN=Eubacterium_saphenum_GU427005|D=90.6	0	12	4	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0	0	62	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	32	132	303	917	546	276	148	2250	97	12	424	1668	410	227	169	302	553	62	67	496	178	436	207	90	79	188	7	638	781	75	7	325	147	72	422	475	194	1362	569	183
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_piger	336	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	6	59	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	358	12	24	39	43	34	46	87	61	14	27	941	23	4	1	7	29	39	45	218	432	32	55	21	45	6	8047	84	186	28	15530	7	638	50	159	59	3	21	459	4
