#NAME	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH018	AIH020	AIH021	AIH022	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH035	AIH036	AIH037	AIH039	AIH040	AIH042	AIH043	AIH046	AIH047	AIH049	AIH050	AIH051	AIH052	AIH053	AIH054	AIH055	AIH056	AIH057	AIH058	AIH059	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH068	AIH069	AIH070	AIH071	AIH072	AIH074	AIH076	AIH077	AIH081	AIH082	AIH083
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella	29	0	0	67	1	0	0	0	0	0	2	0	74	649	1	119	76	1	0	25	0	0	0	1	0	0	12	363	0	0	0	0	9	1	0	1	0	0	0	0	22	0	0	0	0	0	46	22	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86.7	63	10	6	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	6	0	0	0	1	0	6	0	12	16	1	33	1	0	8	2	1	6	24	11	8	0	46	20	0	0	2	0	0	75	1	0	0	0	0	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93.2	332	84	293	3	1	0	13	0	0	0	1	0	1	0	0	1	146	1	0	13	6	21	12	3	3	9	27	39	40	0	0	147	125	4	4	34	4955	5	1	10	37	8	2	74	13	0	8	12	945	1	1	1	0	25	33	10	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	5	2	0	504	0	0	0	8	0	2	7	0	1	0	0	149	0	0	0	4	1	0	12	12	26	49	2	18	15	2	10	12	8	0	19	11	0	3	0	29	29	7	2	42	154	0	1	0	2	3	0	0	0	0	19	1639	31
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU342|NN=Clostridium_clariflavum_NR_102987.1|D=77.3	89	7	28	2	12	0	0	0	0	1	0	0	0	4	0	88	0	0	0	66	47	0	0	3	0	124	88	28	324	110	50	9	3	0	11	74	21	36	26	65	701	606	113	117	75	0	258	47	0	1	6	0	0	0	161	182	36
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU354|NN=Eubacterium_saphenum_GU427005|D=90.6	62	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	26	0	0	0	6	0	0	0	0	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	496	178	436	207	90	79	188	351	7	638	781	14	75	200	7	325	144	147	132	201	72	422	475	6	194	107	317	535	32	132	303	106	917	546	276	148	2250	80	68	97	12	424	1668	410	227	169	58	1184	1362	177	35	569	302	183	553	62	67
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_piger	6	59	0	0	11	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	22	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	218	432	32	55	21	45	6	188	8047	84	186	6	28	471	15530	7	17	638	0	13	50	159	59	16	3	18	3	8	358	12	24	7	39	43	34	46	87	11	88	61	14	27	941	23	4	1	59	1325	21	14	2	459	7	4	29	39	45
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1051|NN=Christensenella_minuta_AB490809|D=87.2	44	53	0	31	6	0	44	0	0	0	1	0	627	0	0	1	31	0	2	11	21	0	0	7	0	52	169	34	7	13	2	31	36	53	30	1665	32	82	3	8	10	21	21	65	43	0	23	719	8	16	6	0	0	59	118	53	37
