Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae	336	51	96	11293	3335	2474	1368	1606	4604	3254	6691	1466	13849	10458	3050	622	9262	5633	3388	2268	1352	4053	2218	6023	3129	8389	1342	1315	4316	3177	689	277	6303	451	2037
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae	0	0	0	0	0	0	0	0	0	310	10	5	8	0	0	1	11	8	0	0	3	0	0	5	13	5	3	0	0	1	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	26	11258	59	2395	53	801	26	6377	1331	1595	3115	784	3126	1155	8917	172	304	132	4132	10586	4347	1725	414	7436	101	262	21580	1461	1461	9545	2125	13	3374	5948	1754
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	31049	205	453	9677	3120	11260	448	5961	9301	8996	8472	3514	9215	9297	39739	6248	17496	4761	6547	15364	14212	7672	5468	29251	5707	20783	10276	5230	20880	28899	3881	2457	18840	42894	18831
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales	0	0	0	0	0	0	1	0	0	0	0	0	67	13	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Mogibacteriaceae]	1	0	0	8	15	1	6	18	110	2	11	3	44	106	9	0	86	20	60	7	2	3	33	8	2	101	5	2	1	31	1	0	5	2	26
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified-Clostridiales	114	210	28	625	247	24	78	998	1045	873	4101	217	3463	388	188	2976	9587	2078	1701	1910	645	263	2182	894	206	5982	2376	1973	1020	423	240	311	1529	397	1362
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	217	13474	863	2028	25	237	3	4466	17	1523	1984	2231	368	491	365	1979	731	505	1977	2496	8600	616	193	559	171	4383	365	356	2703	1255	111	3159	3669	558	409
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae	9	11	17	870	1248	285	32	329	12601	1	0	37	9	1145	9504	6819	50	979	14	6751	9	4	16749	14	4	3129	0	12461	51	4	0	3	0	0	2
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae	12001	1153	894	26730	2434	36748	3490	14485	539	2094	1318	620	1801	7175	375	3433	2181	22	4747	35	1309	17623	79	10718	2071	8	15784	23	1324	4187	4812	27	23028	6425	6730
Bacteria|Firmicutes|Negativicutes|Selenomonadales|unclassified-Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|unclassified|unclassified|unclassified-Firmicutes	1	0	3	302	0	0	2	94	163	187	483	0	97	0	0	0	274	13	629	0	2	109	4	207	0	242	424	9	1010	1	0	0	0	0	2419
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	20	32	23	19	1	4	0	3	30	0	0	0	1	0	1	7	0	0	0	19	16	1	28	0	1	13	2	2	31	0	0	2	4	4	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	6	1	47	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0	1	0	0	2	0	0	0	4	10	0	0	1	0	0	0	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	5	0	1	0	0	0	0	5	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	24	40	51	27	10	44	1	4	25	10	1	8	4	55	77	7	4	6	22	49	14	35	4	67	11	0	41	184	10	10	9	16	64	4	1
Bacteria|Proteobacteria|Alphaproteobacteria|RF32|unclassified-RF32	79	1	0	0	137	0	1	0	2	795	1186	0	7	1	33	341	626	5591	940	45	0	128	1494	305	12821	72	40	54	57	1025	1490	0	0	0	434
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae	4	18	7	4	3	4	0	1	0	0	0	2	0	0	2	0	0	0	0	6	0	5	0	0	0	0	0	61	0	0	0	7	3	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	16	3	5	5	0	3	0	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	4	1	0	0	18	0	0	3	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	351	638	781	201	72	475	6	107	535	106	80	68	58	1184	1362	177	32	132	303	918	546	276	148	2257	97	13	424	1668	410	227	169	302	553	62	67
Bacteria|Proteobacteria|Alphaproteobacteria|unclassified|unclassified-Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	5	0	0	0	0	2	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	8	42	46	16	13	42	0	16	9	11	0	4	2	30	26	6	0	2	10	19	13	37	4	52	7	1	8	258	12	8	11	6	77	1	2
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	62	26	3	0	8	15	1	13	173	33	20	7	16	98	102	4	33	197	42	70	48	1	8	155	36	51	27	34	39	42	8	26	2	4	53
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	7	150	159	225	893	1445	6	283	444	541	2592	9	131	34	1328	200	537	67	51	51	7603	580	2408	162	10171	33	33	807	558	633	495	462	129	1	695
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	10	0	0	0	0	0	0	0	0	2	3	6	0	0	0	0	0	0	0	0	0	0	0	21	3	0	3	0	0	2	0	10	1	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	3	5	0	17	0	8	1	4	20	48	96	8	76	7	10	44	574	63	45	72	112	66	44	268	767	469	66	15	54	53	18	0	14	0	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae	77	0	6	1	2	3	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	130	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	24	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	1	3	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	6	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	3	3	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae	0	0	0	10	0	0	0	23340	0	1	0	1460	0	478	0	1	0	0	4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	136	555	30	9	9	69	3	3	160	8	6	35	44	107	0	22	7	1800	26	8	35	0	7	30	1167	0	5	0	12	81	0	537	23	82	103
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	1210	1417	11	2834	248	8529	4	89	80	2	574	5	175	1	53	0	27	0	36	7	0	23	0	10	44	4	643	20	77	13	183	39	54	55	17
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	2	1	7	8	0	0	0	0	2	2	0	3	0	11	17	1	0	3	7	14	6	4	2	30	0	0	7	4	2	5	2	5	1	5	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	14	2	18	1	1	5	0	0	49	16	3	0	5	12	35	6	2	5	15	19	14	0	5	127	5	0	11	3	3	17	9	16	9	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified|unclassified|unclassified-Bacteria	15	0	109	2	12	13	0	1258	4	0	1883	0	4	6	3	0	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	120	8	15	1094	0	9	13	0	4800	25441	3480	552	18	11800	1278	1	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938
