Leberstatus	1_normal	1_normal	1_normal	1_normal	1_normal	1_normal	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose
SampleID	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068	AIH018	AIH023	AIH033	AIH035	AIH043	AIH047	AIH052	AIH059	AIH069	AIH071	AIH072
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	19	12	0	25	0	2	8	4	10	16	16	9	11	4	30	6	2
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	7	6	1	18	20	16	62	0	1	0	13	173	33	7	98	4	4
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	771	76	6	18	2592	131	7	0	107	225	283	444	541	9	34	200	65
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	11	0	0	0	3	0	10	0	0	0	0	0	2	6	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	349	0	1	3	96	76	3	0	20	17	4	20	48	8	7	44	2
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae	1	3	0	0	0	0	77	3	0	1	0	5	0	0	0	0	0
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	0	0	0	0	0	1	24	0	1	0	0	0	1	0	2	0	0
Bacteria|Proteobacteria|Gammaproteobacteria	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae	1	0	0	1	0	0	0	0	0	10	23340	0	1	1460	478	1	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	7848	10	3	8	6	44	136	40	567	9	3	160	8	35	107	22	306
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	13	294	4	18	574	175	1210	23	0	2834	89	80	2	5	1	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0	0	0	8	0	0	2	0	0	8	0	2	2	3	11	1	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	4	3	0	14	3	5	14	0	0	1	0	49	16	0	12	6	7
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	14
Bacteria|Unclassified|unclassified|unclassified|unclassified-Bacteria	11	4	0	36	1883	4	15	0	0	2	1258	4	0	0	6	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	15	2	13	8	3480	18	120	25482	57702	1094	0	4800	25441	552	11800	1	1675
