Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified-Clostridiaceae	0	1	0	0	1	0	2	0	48	107	201	3	14	0	2	0	0	0	0	63	27	1	0	0	0	0	0	0	0	3	642	0	0	0	0	200	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Anaerococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Parvimonas	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	7	0	0	0	1	0	0	6	0	2	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium	7	0	0	0	0	0	0	0	1	1	2	0	2	8	0	4	13	6	0	0	1	0	2	0	11	1	0	28	20	3	0	0	0	18	0	0	2	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae|Dehalobacterium	1	0	0	0	0	0	0	0	10	50	75	5	34	0	0	100	0	0	0	32	16	0	4	0	0	0	0	15	0	1	6	0	0	0	0	15	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Anaerofustis	0	0	0	1	0	0	0	1	3	0	0	0	4	0	0	16	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	273	8	47	165	31	339	23	76	320	306	2197	77	1387	1514	1437	355	458	1276	845	627	199	0	32	2	291	94	68	254	184	110	438	4	19	772	573	281	474	1782	1015
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	715	319	80	142	48	169	12	56	47	121	3823	122	346	46	152	41	50	93	78	73	485	4	95	54	5741	6	20	117	296	28	23	2	19	253	319	49	1	174	30
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anoxystipes	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	174	5623	16703	162	99	267	50	42	47	80	68	163	639	225	149	139	88	151	13	66	18	4	35	15	964	11	31	16	544	24	176	7	102	95	5094	51	41	2623	46
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0	0	0	0	0	0	0	0	0	0	453	0	15020	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	11	10	18	18	0	197	13	314	173	101	743	45	601	133	82	35	38	74	1866	38	95	2	4	0	0	0	68	13	195	1611	968	9	362	44	180	117	3	76	48
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	50	788	156	53	19	209	4	28	33	28	65	20	556	39	41	58	13	49	49	55	39	1	23	0	1200	4	43	27	4	10	51	0	0	0	60	17	6	188	22
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	209	20	2	21	11	71	11	20	16	82	70	27	91	10	44	42	7	44	55	100	0	0	3	1	207	9	4	0	1395	56	22	0	10	2	21	6	1	424	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium	120	441	249	46	24	275	10	12	67	60	316	25	418	58	249	14	42	106	106	162	74	0	13	69	443	13	22	1826	1988	135	15	0	303	141	379	24	5	255	63
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	10	14	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	7	1	0	1	0	0	0	16	0	1	4	0	0	0	0	0	4	0	0	0	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	627	582	32	3784	388	9240	336	742	725	764	3230	101	496	264	1818	592	231	2124	1781	2530	420	3	53	1	485	61	1541	482	5279	1343	2105	25	23	703	204	1190	25	1575	1092
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus	39	4	0	93	0	5	3	0	1	27	457	0	15	0	11	299	12	41	34	56	5	0	10	0	0	0	1	1	290	10	8	0	5	0	622	1	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella	426	1	0	113	58	48	1	10	46	11	261	23	44	33	31	46	11	93	14	115	301	0	23	11	60	2	17	188	2	9	35	0	194	59	135	81	0	513	16
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|[Ruminococcus]	3	1	0	3	6	0	0	0	0	3	2	0	3	10	5	17	3	15	5	11	0	0	0	0	0	0	1	0	0	10	12	0	0	0	1	7	0	0	13
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified-Lachnospiraceae	941	791	16	1481	82	1646	54	89	903	281	1695	101	2190	280	233	419	311	256	1125	837	230	2	130	68	5288	27	104	528	3656	191	5585	3	16	37	212	401	66	2511	931
