#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_paraputrificum	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_indistinctus	20	0	264	257	61	194	62	108	87	28	38	289	206	484	0	253	35	0	0	8	0	2	0	26	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	1	4	4	0	0	0	0	19	0	0	0	0	38	10	0	0	0	2	0	0	9	0	6	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Intestinimonas; Intestinimonas_butyriciproducens	2	4	0	1	3	12	8	14	9	6	0	104	5	8	4	682	7	0	2	676	22	1	10	0	0
Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium	1710	7	121	305	428	2	28	367	159	282	94	32	167	355	343	2	114	12660	8665	41	0	7	47	188	212
Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium; OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97	0	0	0	0	0	9	2	0	0	0	3	55	3	0	0	0	28	0	0	7	3	0	6	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1682|NN=Oscillibacter_valericigenes_AB238598|D=91.1	21	0	0	0	0	0	365	0	0	278	0	0	0	0	0	0	0	1	0	0	0	0	0	0	225
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; OTU1731|NN=Roseburia_intestinalis_AB661435|D=97	1236	2378	117	3476	896	1599	3798	2946	618	334	836	18170	803	985	2895	1	2804	1041	1080	453	1853	330	1181	2822	224
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU661|NN=Blautia_wexlerae_EF036467|D=94.9	1147	82	68	175	83	15	178	135	50	519	114	321	78	36	177	0	64	980	201	9	30	48	32	56	363
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90.2	2939	39	33	60	56	18	102	150	270	419	40	215	247	45	81	1	36	161	71	4	34	17	12	17	634
