"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"413";"OTU_3849";-0.184812565563625;0.422551448578035;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"414";"OTU_3111";-0.147091022245516;0.524609088770707;1;"s__massiliensis";"g__Alistipes";"control";""
"416";"OTU_6703";-0.0531179772401913;0.819123183561158;1;"s__bromii";"g__Ruminococcus";"control";""
"423";"OTU_4036";0.00167336342039792;0.994256297780547;1;"s__massiliensis";"g__Alistipes";"control";""
"431";"OTU_852";-0.0775503034038202;0.738286911785623;1;"s__copri";"g__Prevotella";"control";""
"434";"OTU_1619";-0.134776993522286;0.560246986128331;1;"s__bromii";"g__Ruminococcus";"control";""
"439";"OTU_3246";-0.162303335335336;0.482114088868152;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"440";"OTU_4563";-0.175544371623484;0.44658158296655;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"441";"OTU_5502";-0.100955816873867;0.663254450062545;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"444";"OTU_851";-0.0923495651412419;0.690528663293543;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"449";"OTU_433";0.521848794592303;0.0152484214392821;0.476513169977565;"s__mucilaginosa";"g__Rothia";"control";""
"451";"OTU_4433";-0.0675103637516614;0.771235478737795;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"456";"OTU_8052";0.0129852912466856;0.955449833646887;1;"s__aerofaciens";"g__Collinsella";"control";""
"459";"OTU_3405";-0.0967307911508624;0.676595389236021;1;"s__ovatus";"g__Bacteroides";"control";""
"460";"OTU_4848";-0.231901270363041;0.311773427160749;1;"s__indistinctus";"g__Alistipes";"control";""
"464";"OTU_3884";NA;NA;NA;"s__prausnitzii";"g__Faecalibacterium";"control";""
"469";"OTU_653";0.10052728921854;0.664603189136113;1;"s__ovatus";"g__Bacteroides";"control";""
"471";"OTU_1146";-0.0761979806322022;0.742700631893027;1;"s__uniformis";"g__Bacteroides";"control";""
"474";"OTU_458";0.184830435977077;0.422505798906514;1;"s__gnavus";"g__[Ruminococcus]";"control";""
"477";"OTU_703";0.114784571505051;0.620287647306353;1;"s__dispar";"g__Veillonella";"control";""
"479";"OTU_2301";-0.157432651918065;0.495529909830746;1;"s__muciniphila";"g__Akkermansia";"control";""
