#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH011	AIH020	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH037	AIH042	AIH046	AIH072	AIH074	AIH077
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia; Akkermansia_muciniphila	120	8	15	1043	0	8	13	0	4702	25440	3480	552	18	11800	6	1	7	16	13	3903	9	16	1	23	1	25480	0	15	3	141	2	13	57140	6	3921	8	1675	4	9123
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; unclassified; OTU228|NN=Sutterella_parvirubra_AB300989|D=92.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	24	0	0	0	0	0	0	38	0	0	0	0	0	0	0	1	22	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; OTU24|NN=Massilia_aurea_AM231588|D=96.2	62	26	3	0	2	15	0	0	44	15	13	7	15	55	102	4	40	16	10	5	22	5	25	19	1	0	9	7	0	11	6	6	1	6	3	18	4	21	19
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	0	0	0	0	40	0	1	119	94	209	553	0	75	0	0	0	53	4	2	238	24	0	0	0	0	0	6	2	0	0	0	0	0	0	219	0	0	0	0
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_fairfieldensis	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	59	801	4	3	20	110	1	14	9	28	60	7	293	394	64	20	27	79	193	75	10	0	14	0	257	0	0	5	1	70	60	0	0	4	16	2	2	0	5
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	49	123	0	0	1	0	0	0	4	1	1	0	16	0	0	2	0	0	15	9	3	9545	0	0	0	0	2	32	8736	0	0	0	0	0	1	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU286|NN=Ruminococcus_bromii_DQ882649|D=96.6	0	0	0	0	0	0	0	0	13	84	1	0	7	16	13	15	55	1	8	29	0	0	0	0	3	0	0	0	0	59	0	0	0	0	176	1	2	0	26
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU107|NN=Blautia_glucerasea_AB588023|D=95.6	3	1	1	36	33	18	10	11	19	16	38	8	414	4	7	41	48	13	10	8	12	0	12	1	0	0	1	7	0	69	19	28	0	577	38	19	0	35	9
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92.5	274	10	29	0	1149	5	968	0	1148	893	1868	347	812	41	1029	1	87	1319	147	236	642	0	0	0	1	1	1	0	11	2764	0	4	0	0	0	16	157	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	0	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	2	0	1	0	0	2	0	0	0	5	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92.3	22	889	242	15	0	27	0	17	2	0	47	0	12	0	15	68	7	33	15	53	1	0	1	10	114	10	12	0	0	8	8	0	10	21	1	12	1	15	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87.1	2	93	0	0	887	393	0	4	3	129	143	0	180	0	59	0	15	10	2966	236	0	0	3	0	0	0	421	1	0	2	0	1	106	0	14	0	65	611	33
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	93	0	0	0	0	32	3	8	1	20	4	4	169	6	69	0	48	31	17	36	1	0	14	0	0	0	9	2	117	24	0	0	0	0	1	28	4	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU18|NN=Ruminococcus_bromii_DQ882649|D=88.1	0	0	0	0	4	0	1	11	5	33	6	6	17	5	15	129	159	129	6	150	0	0	5	0	0	0	5	0	0	0	31	0	56	0	6	11	3	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	2	7	0	1	0	0	3	0	0	0	8	16	0	0	0	1	0	0	8	17	0	140	0	0	0	0	0	2	269	0	0	0	0	0	1	2	0	0
